date,gunluk_test,gunluk_vaka,gunluk_hasta,gunluk_vefat,gunluk_iyilesen,haftalik_zature,haftalik_yatak_doluluk,haftalik_yogunbakim_orani,haftalik_ventilator_orani,haftalik_temas_sure,haftalik_filyasyon,toplam_test,toplam_vaka,toplam_vefat,toplam_agir_hasta,toplam_iyilesen,gunluk_vakatest,toplam_vakatest,toplam_vakanufus,positivity1,positivity2,positivity3,daily_to_total_avg_positivity_corr,total_cured_/_total_sick,n_days,delta_daily_tests,delta_daily_cases,delta_daily_patients,delta_total_tests,delta_total_cases,delta_total_patients
2021-03-01,130536.00,9891.00,645.00,69.00,5947.00,3.60%,49.10%,63.20%,28.30%,8.00,99.90%,33305552.00,2711479.00,28638.00,1215.00,2578181.00,7.58%,8.14%,3.23%,7.577%,8.14%,0.03%,7.859%,95.08%,0,4755,1946,23,135291,135291,11837
2021-03-02,135291.00,11837.00,668.00,68.00,7892.00,3.60%,49.10%,63.20%,28.30%,8.00,99.90%,33440843.00,2723316.00,28706.00,1227.00,2586073.00,8.75%,8.14%,3.24%,8.749%,8.14%,0.04%,8.446%,94.96%,1,2727,-317,21,138018,138018,11520
2021-03-03,138018.00,11520.00,689.00,65.00,7191.00,3.60%,49.10%,63.20%,28.30%,8.00,99.90%,33578861.00,2734836.00,28771.00,1224.00,2593264.00,8.35%,8.14%,3.26%,8.347%,8.14%,0.03%,8.246%,94.82%,2,-133,-198,-4,137885,137885,11322
2021-03-04,137885.00,11322.00,685.00,68.00,7873.00,3.60%,49.10%,63.20%,28.30%,8.00,99.00%,33716746.00,2746158.00,28839.00,1220.00,2601137.00,8.21%,8.14%,3.27%,8.211%,8.14%,0.03%,8.178%,94.72%,3,329,-20,13,138214,138214,11302
2021-03-05,138214.00,11302.00,698.00,62.00,7711.00,3.60%,49.10%,63.20%,28.30%,8.00,99.00%,33854960.00,2757460.00,28901.00,1232.00,2608848.00,8.18%,8.14%,3.28%,8.177%,8.14%,0.03%,8.161%,94.61%,4,378,468,4,138592,138592,11770
2021-03-06,138592.00,11770.00,702.00,64.00,7291.00,3.60%,49.10%,63.20%,28.30%,8.00,99.00%,33993552.00,2769230.00,28965.00,1230.00,2616139.00,8.49%,8.15%,3.30%,8.493%,8.15%,0.03%,8.319%,94.47%,5,-9293,-583,33,129299,129299,11187
2021-03-07,129299.00,11187.00,735.00,65.00,7785.00,3.60%,49.10%,63.20%,28.30%,8.00,99.00%,34122851.00,2780417.00,29030.00,1261.00,2623924.00,8.65%,8.15%,3.31%,8.652%,8.15%,0.03%,8.400%,94.37%,6,10130,2028,32,139429,139429,13215
2021-03-08,139429.00,13215.00,767.00,64.00,8106.00,3.80%,51.50%,62.40%,31.00%,8.00,99.00%,34262280.00,2793632.00,29094.00,1239.00,2632030.00,9.48%,8.15%,3.33%,9.478%,8.15%,0.04%,8.816%,94.22%,7,1399,540,34,140828,140828,13755
2021-03-09,140828.00,13755.00,801.00,66.00,8639.00,3.80%,51.50%,62.40%,31.00%,8.00,99.00%,34403108.00,2807387.00,29160.00,1289.00,2640669.00,9.77%,8.16%,3.34%,9.767%,8.16%,0.04%,8.964%,94.06%,8,4302,801,13,145130,145130,14556
2021-03-10,145130.00,14556.00,814.00,67.00,9193.00,3.80%,51.50%,62.40%,31.00%,8.00,99.00%,34548238.00,2821943.00,29227.00,1309.00,2649862.00,10.03%,8.17%,3.36%,10.030%,8.17%,0.04%,9.099%,93.90%,9,1256,-510,7,146386,146386,14046
2021-03-11,146386.00,14046.00,821.00,63.00,9231.00,3.80%,51.50%,62.40%,31.00%,8.00,99.00%,34694624.00,2835989.00,29290.00,1310.00,2659093.00,9.60%,8.17%,3.38%,9.595%,8.17%,0.04%,8.885%,93.76%,10,2470,895,13,148856,148856,14941
2021-03-12,148856.00,14941.00,834.00,66.00,11180.00,3.80%,51.50%,62.40%,31.00%,8.00,99.00%,34843480.00,2850930.00,29356.00,1349.00,2670273.00,10.04%,8.18%,3.39%,10.037%,8.18%,0.04%,9.110%,93.66%,11,1242,141,7,150098,150098,15082
2021-03-13,150098.00,15082.00,841.00,65.00,15287.00,3.80%,51.50%,62.40%,31.00%,8.00,99.00%,34993578.00,2866012.00,29421.00,1350.00,2685560.00,10.05%,8.19%,3.41%,10.048%,8.19%,0.04%,9.119%,93.70%,12,-17673,-1704,11,132425,132425,13378
2021-03-14,132425.00,13378.00,852.00,68.00,15516.00,3.80%,51.50%,62.40%,31.00%,8.00,99.00%,35126003.00,2879390.00,29489.00,1392.00,2701076.00,10.10%,8.20%,3.43%,10.102%,8.20%,0.04%,9.150%,93.81%,13,18688,2125,6,151113,151113,15503
2021-03-15,151113.00,15503.00,858.00,63.00,15893.00,3.20%,51.60%,66.20%,29.80%,9.00,99.00%,35277116.00,2894893.00,29552.00,1425.00,2716969.00,10.26%,8.21%,3.45%,10.259%,8.21%,0.04%,9.233%,93.85%,14,7273,1246,16,158386,158386,16749
2021-03-16,158386.00,16749.00,874.00,71.00,17893.00,3.20%,51.60%,66.20%,29.80%,9.00,99.00%,35435502.00,2911642.00,29623.00,1474.00,2734862.00,10.57%,8.22%,3.47%,10.575%,8.22%,0.05%,9.396%,93.93%,15,9140,2163,-5,-9832474,-9832474,18912
2021-03-17,167526.00,18912.00,869.00,73.00,17161.00,3.20%,51.60%,66.20%,29.80%,9.00,99.00%,25603028.00,2930554.00,29696.00,1484.00,2752023.00,11.29%,11.45%,3.49%,11.289%,11.45%,0.07%,11.368%,93.91%,16,16926,1137,33,10184452,10184452,20049
2021-03-18,184452.00,20049.00,902.00,81.00,18615.00,3.20%,51.60%,66.20%,29.80%,9.00,99.90%,35787480.00,2950603.00,29777.00,1503.00,2770638.00,10.87%,8.24%,3.51%,10.869%,8.24%,0.06%,9.557%,93.90%,17,3407,981,32,187859,187859,21030
2021-03-19,187859.00,21030.00,934.00,87.00,18119.00,3.20%,51.60%,66.20%,29.80%,9.00,99.90%,35975339.00,2971633.00,29864.00,1547.00,2788757.00,11.19%,8.26%,3.54%,11.195%,8.26%,0.06%,9.727%,93.85%,18,2270,31,24,190129,190129,21061
2021-03-20,190129.00,21061.00,958.00,95.00,18815.00,3.20%,51.60%,66.20%,29.80%,9.00,99.00%,36165468.00,2992694.00,29959.00,1538.00,2807572.00,11.08%,8.28%,3.56%,11.077%,8.28%,0.06%,9.676%,93.81%,19,-223,-633,7,189906,189906,20428
2021-03-21,189906.00,20428.00,965.00,102.00,17615.00,3.20%,51.60%,66.20%,29.80%,9.00,99.00%,36355374.00,3013122.00,30061.00,1568.00,2825187.00,10.76%,8.29%,3.59%,10.757%,8.29%,0.06%,9.522%,93.76%,20,11309,1788,16,-798785,-798785,22216
2021-03-22,201215.00,22216.00,981.00,117.00,19494.00,4.20%,53.80%,65.00%,23.30%,9.00,99.00%,35556589.00,3035338.00,30178.00,1644.00,2844681.00,11.04%,8.54%,3.61%,11.041%,8.54%,0.06%,9.789%,93.72%,21,10633,3966,25,1211848,1211848,26182
2021-03-23,211848.00,26182.00,1006.00,138.00,19201.00,4.20%,53.80%,65.00%,23.30%,9.00,99.00%,36768437.00,3061520.00,30316.00,1710.00,2863882.00,12.36%,8.33%,3.64%,12.359%,8.33%,0.07%,10.343%,93.54%,22,9890,3580,136,221738,221738,29762
2021-03-24,221738.00,29762.00,1142.00,146.00,17761.00,4.20%,53.80%,65.00%,23.30%,9.00,99.90%,36990175.00,3091282.00,30462.00,1720.00,2881643.00,13.42%,8.36%,3.68%,13.422%,8.36%,0.08%,10.890%,93.22%,23,1015,-1031,68,222753,222753,28731
2021-03-25,222753.00,28731.00,1210.00,157.00,19186.00,4.20%,53.80%,65.00%,23.30%,9.00,99.90%,37212928.00,3120013.00,30619.00,1790.00,2900829.00,12.90%,8.38%,3.71%,12.898%,8.38%,0.08%,10.641%,92.97%,24,-1768,350,43,220985,220985,29081
2021-03-26,220985.00,29081.00,1253.00,153.00,20208.00,4.20%,53.80%,65.00%,23.30%,9.00,99.00%,37433913.00,3149094.00,30772.00,1810.00,2921037.00,13.16%,8.41%,3.75%,13.160%,8.41%,0.08%,10.786%,92.76%,25,2229,940,28,223214,223214,30021
2021-03-27,223214.00,30021.00,1281.00,151.00,18892.00,4.20%,53.80%,65.00%,23.30%,9.00,99.00%,37657127.00,3179115.00,30923.00,1886.00,2939929.00,13.45%,8.44%,3.78%,13.449%,8.44%,0.08%,10.946%,92.48%,26,-3105,-963,24,220109,220109,29058
2021-03-28,220109.00,29058.00,1305.00,153.00,17164.00,4.20%,53.80%,65.00%,23.30%,9.00,99.90%,37877236.00,3208173.00,31076.00,1968.00,2957093.00,13.20%,8.47%,3.82%,13.202%,8.47%,0.08%,10.836%,92.17%,27,5402,3346,20,225511,225511,32404
2021-03-29,225511.00,32404.00,1325.00,154.00,18015.00,3.60%,54.20%,63.20%,27.10%,9.00,99.90%,38102747.00,3240577.00,31230.00,1998.00,2975108.00,14.37%,8.50%,3.86%,14.369%,8.50%,0.09%,11.437%,91.81%,28,9787,4899,51,235298,235298,37303
